--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
013.939  000.083  000.083: require('vim.treesitter._range')
013.954  000.572  000.118: require('vim.treesitter.languagetree')
013.958  000.657  000.085: require('vim.treesitter')
014.449  001.391  000.735: require('nvim-treesitter.parsers')
014.797  000.094  000.094: require('nvim-treesitter.compat')
014.989  000.119  000.119: require('nvim-treesitter.ts_utils')
014.993  000.194  000.075: require('nvim-treesitter.tsrange')
015.021  000.027  000.027: require('nvim-treesitter.caching')
015.029  000.463  000.148: require('nvim-treesitter.query')
015.037  000.539  000.076: require('nvim-treesitter.configs')
015.039  000.588  000.049: require('nvim-treesitter.info')
015.089  000.050  000.050: require('nvim-treesitter.shell_command_selectors')
015.107  002.155  000.086: require('nvim-treesitter.install')
015.136  000.028  000.028: require('nvim-treesitter.statusline')
015.170  000.033  000.033: require('nvim-treesitter.query_predicates')
015.172  002.476  000.260: require('nvim-treesitter')
015.218  000.043  000.043: require('vim.iter')
015.617  002.978  000.459: sourcing /home/ususstudios/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
015.621  003.004  000.026: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
015.626  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
015.635  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
015.767  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
015.773  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
016.042  000.267  000.267: require('alpha')
016.089  000.045  000.045: require('alpha.themes.dashboard')
065.751  000.100  000.100: sourcing /home/ususstudios/.local/share/nvim/lazy/vim-rhubarb/plugin/rhubarb.vim
065.758  000.150  000.050: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
065.768  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
065.779  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
066.647  000.534  000.534: sourcing /home/ususstudios/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
066.651  000.560  000.026: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
066.657  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
066.735  000.008  000.008: sourcing /home/ususstudios/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
066.738  000.039  000.031: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
066.742  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.052  000.104  000.104: sourcing /home/ususstudios/.local/share/nvim/lazy/which-key.nvim/plugin/which-key.lua
067.056  000.134  000.030: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
